filename,code_line,line_number,is_comment,is_blank
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,/*,1,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,* Copyright (c) 2007 Mockito contributors,2,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,* This program is made available under the terms of the MIT License.,3,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,*/,4,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,package org.mockito;,5,False,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,,6,False,True
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,import org.mockito.internal.stubbing.answers.ReturnsArgumentAt;,7,False,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,import org.mockito.internal.stubbing.answers.ReturnsElementsOf;,8,False,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,import org.mockito.internal.stubbing.defaultanswers.ForwardsInvocations;,9,False,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,import org.mockito.stubbing.Answer;,10,False,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,,11,False,True
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,import java.util.Collection;,12,False,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,,13,False,True
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,/**,14,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,* Additional answers provides factory methods for less common answers.,15,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,*,16,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,* <p>Currently offer answers that can return the parameter of an invocation at a certain position.,17,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,*,18,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,"* <p>See factory methods for more information : {@link #returnsFirstArg}, {@link #returnsSecondArg},",19,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,* {@link #returnsLastArg} and {@link #returnsArgAt},20,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,*,21,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,* @since 1.9.5,22,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,*/,23,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,"@SuppressWarnings(""unchecked"")",24,False,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,public class AdditionalAnswers {,25,False,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,private static final ReturnsArgumentAt RETURNS_FIRST_ARGUMENT = new ReturnsArgumentAt(0);,26,False,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,private static final ReturnsArgumentAt RETURNS_SECOND_ARGUMENT = new ReturnsArgumentAt(1);,27,False,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,private static final ReturnsArgumentAt RETURNS_LAST_ARGUMENT = new ReturnsArgumentAt(-1);,28,False,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,,29,False,True
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,/**,30,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,* Returns the first parameter of an invocation.,31,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,*,32,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,* <p>,33,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,*     This additional answer could be used at stub time using the,34,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,*     <code>then|do|will{@link org.mockito.stubbing.Answer}</code> methods. For example :,35,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,* </p>,36,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,*,37,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,"* <pre class=""code""><code class=""java"">given(carKeyFob.authenticate(carKey)).will(returnsFirstArg());",38,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,* doAnswer(returnsFirstArg()).when(carKeyFob).authenticate(carKey)</code></pre>,39,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,*,40,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,* @param <T> Return type of the invocation.,41,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,* @return Answer that will return the first argument of the invocation.,42,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,*,43,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,* @since 1.9.5,44,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,*/,45,True,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,public static <T> Answer<T> returnsFirstArg() {,46,False,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,return (Answer<T>) RETURNS_FIRST_ARGUMENT;,47,False,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,},48,False,False
G:\defects4j\Mockito\mockito_1_buggy\src\org\mockito\AdditionalAnswers.java,,49,False,True
